kind,name,path,target,status,notes
wp-hook,tiny_mce_plugins,chroma-excellence-theme/inc/cleanup.php,filter,inventory,
wp-hook,wp_resource_hints,chroma-excellence-theme/inc/cleanup.php,filter,inventory,
wp-hook,init,chroma-excellence-theme/inc/cleanup.php,action,inventory,
wp-hook,template_redirect,chroma-excellence-theme/inc/cleanup.php,action,inventory,
wp-hook,wp_robots,chroma-excellence-theme/inc/cleanup.php,filter,inventory,
wp-hook,wpseo_robots,chroma-excellence-theme/inc/cleanup.php,filter,inventory,
wp-hook,send_headers,chroma-excellence-theme/inc/cleanup.php,action,inventory,
wp-hook,chroma_sitemap_post_types,chroma-excellence-theme/inc/cleanup.php,filter,inventory,
wp-hook,robots_txt,chroma-excellence-theme/inc/cleanup.php,filter,inventory,
wp-hook,add_meta_boxes,chroma-excellence-theme/inc/contact-page-meta.php,action,inventory,
wp-hook,save_post,chroma-excellence-theme/inc/contact-page-meta.php,action,inventory,
wp-hook,save_post,chroma-excellence-theme/inc/contact-page-meta.php,action,inventory,
wp-hook,init,chroma-excellence-theme/inc/cpt-careers.php,action,inventory,
wp-hook,add_meta_boxes,chroma-excellence-theme/inc/cpt-careers.php,action,inventory,
wp-hook,save_post_career,chroma-excellence-theme/inc/cpt-careers.php,action,inventory,
wp-hook,init,chroma-excellence-theme/inc/cpt-cities.php,action,inventory,
wp-hook,init,chroma-excellence-theme/inc/cpt-locations.php,action,inventory,
wp-hook,init,chroma-excellence-theme/inc/cpt-locations.php,action,inventory,
wp-hook,init,chroma-excellence-theme/inc/cpt-locations.php,action,inventory,
wp-hook,manage_location_posts_columns,chroma-excellence-theme/inc/cpt-locations.php,filter,inventory,
wp-hook,manage_location_posts_custom_column,chroma-excellence-theme/inc/cpt-locations.php,action,inventory,
wp-hook,manage_edit-location_sortable_columns,chroma-excellence-theme/inc/cpt-locations.php,filter,inventory,
wp-hook,enter_title_here,chroma-excellence-theme/inc/cpt-locations.php,filter,inventory,
wp-hook,location_region_add_form_fields,chroma-excellence-theme/inc/cpt-locations.php,action,inventory,
wp-hook,location_region_edit_form_fields,chroma-excellence-theme/inc/cpt-locations.php,action,inventory,
wp-hook,created_location_region,chroma-excellence-theme/inc/cpt-locations.php,action,inventory,
wp-hook,edited_location_region,chroma-excellence-theme/inc/cpt-locations.php,action,inventory,
wp-hook,add_meta_boxes,chroma-excellence-theme/inc/cpt-locations.php,action,inventory,
wp-hook,save_post_location,chroma-excellence-theme/inc/cpt-locations.php,action,inventory,
wp-hook,init,chroma-excellence-theme/inc/cpt-programs.php,action,inventory,
wp-hook,admin_init,chroma-excellence-theme/inc/cpt-programs.php,action,inventory,
wp-hook,init,chroma-excellence-theme/inc/cpt-programs.php,action,inventory,
wp-hook,manage_program_posts_columns,chroma-excellence-theme/inc/cpt-programs.php,filter,inventory,
wp-hook,manage_program_posts_custom_column,chroma-excellence-theme/inc/cpt-programs.php,action,inventory,
wp-hook,enter_title_here,chroma-excellence-theme/inc/cpt-programs.php,filter,inventory,
wp-hook,init,chroma-excellence-theme/inc/cpt-programs.php,action,inventory,
wp-hook,add_meta_boxes,chroma-excellence-theme/inc/cpt-programs.php,action,inventory,
wp-hook,save_post,chroma-excellence-theme/inc/cpt-programs.php,action,inventory,
wp-hook,add_meta_boxes,chroma-excellence-theme/inc/cpt-programs.php,action,inventory,
wp-hook,save_post_program,chroma-excellence-theme/inc/cpt-programs.php,action,inventory,
wp-hook,save_post_program,chroma-excellence-theme/inc/cpt-programs.php,action,inventory,
wp-hook,save_post_program,chroma-excellence-theme/inc/cpt-programs.php,action,inventory,
wp-hook,init,chroma-excellence-theme/inc/cpt-team-members.php,action,inventory,
wp-hook,init,chroma-excellence-theme/inc/cpt-team-members.php,action,inventory,
wp-hook,add_meta_boxes,chroma-excellence-theme/inc/cpt-team-members.php,action,inventory,
wp-hook,save_post,chroma-excellence-theme/inc/cpt-team-members.php,action,inventory,
wp-hook,save_post,chroma-excellence-theme/inc/cpt-team-members.php,action,inventory,
wp-hook,manage_team_member_posts_columns,chroma-excellence-theme/inc/cpt-team-members.php,filter,inventory,
wp-hook,manage_team_member_posts_custom_column,chroma-excellence-theme/inc/cpt-team-members.php,action,inventory,
wp-hook,manage_edit-team_member_sortable_columns,chroma-excellence-theme/inc/cpt-team-members.php,filter,inventory,
wp-hook,pre_get_posts,chroma-excellence-theme/inc/cpt-team-members.php,action,inventory,
wp-hook,after_switch_theme,chroma-excellence-theme/inc/cpt-team-members.php,action,inventory,
wp-hook,init,chroma-excellence-theme/inc/cpt-team-members.php,action,inventory,
wp-hook,wp_head,chroma-excellence-theme/inc/critical-css.php,action,inventory,
wp-hook,add_meta_boxes,chroma-excellence-theme/inc/curriculum-page-meta.php,action,inventory,
wp-hook,save_post,chroma-excellence-theme/inc/curriculum-page-meta.php,action,inventory,
wp-hook,save_post,chroma-excellence-theme/inc/curriculum-page-meta.php,action,inventory,
wp-hook,customize_register,chroma-excellence-theme/inc/customizer-footer.php,action,inventory,
wp-hook,customize_register,chroma-excellence-theme/inc/customizer-header.php,action,inventory,
wp-hook,customize_register,chroma-excellence-theme/inc/customizer-home.php,action,inventory,
wp-hook,customize_register,chroma-excellence-theme/inc/customizer-locations.php,action,inventory,
wp-hook,customize_register,chroma-excellence-theme/inc/customizer-scripts.php,action,inventory,
wp-hook,wp_head,chroma-excellence-theme/inc/customizer-scripts.php,action,inventory,
wp-hook,wp_footer,chroma-excellence-theme/inc/customizer-scripts.php,action,inventory,
wp-hook,customize_register,chroma-excellence-theme/inc/customizer-seo.php,action,inventory,
wp-hook,wp_head,chroma-excellence-theme/inc/customizer-seo.php,action,inventory,
wp-hook,pre_get_document_title,chroma-excellence-theme/inc/customizer-seo.php,filter,inventory,
wp-hook,wpseo_title,chroma-excellence-theme/inc/customizer-seo.php,filter,inventory,
wp-hook,wpseo_metadesc,chroma-excellence-theme/inc/customizer-seo.php,filter,inventory,
wp-hook,wpseo_opengraph_desc,chroma-excellence-theme/inc/customizer-seo.php,filter,inventory,
wp-hook,wp_head,chroma-excellence-theme/inc/customizer-seo.php,action,inventory,
shortcode,chroma_link,chroma-excellence-theme/inc/dynamic-links.php,,inventory,
wp-hook,add_meta_boxes,chroma-excellence-theme/inc/early-start-program-meta.php,action,inventory,
wp-hook,save_post,chroma-excellence-theme/inc/early-start-program-meta.php,action,inventory,
wp-hook,save_post,chroma-excellence-theme/inc/early-start-program-meta.php,action,inventory,
wp-hook,add_meta_boxes,chroma-excellence-theme/inc/employers-page-meta.php,action,inventory,
wp-hook,save_post,chroma-excellence-theme/inc/employers-page-meta.php,action,inventory,
wp-hook,save_post,chroma-excellence-theme/inc/employers-page-meta.php,action,inventory,
wp-hook,wp_enqueue_scripts,chroma-excellence-theme/inc/enqueue.php,action,inventory,
wp-hook,wp_resource_hints,chroma-excellence-theme/inc/enqueue.php,filter,inventory,
wp-hook,admin_enqueue_scripts,chroma-excellence-theme/inc/enqueue.php,action,inventory,
wp-hook,style_loader_tag,chroma-excellence-theme/inc/enqueue.php,filter,inventory,
wp-hook,wp_enqueue_scripts,chroma-excellence-theme/inc/enqueue.php,action,inventory,
