kind,name,path,line,scope,status,notes
wp_action,wp_enqueue_scripts,chroma-excellence-theme\inc\enqueue.php,488,hook,registered,
wp_action,wp_head,chroma-excellence-theme\inc\enqueue.php,513,hook,registered,
wp_action,wp_enqueue_scripts,chroma-excellence-theme\inc\enqueue.php,515,hook,registered,
wp_action,wp_enqueue_scripts,chroma-excellence-theme\inc\enqueue.php,546,hook,registered,
wp_filter,wp_resource_hints,chroma-excellence-theme\inc\enqueue.php,350,hook,registered,
wp_filter,style_loader_tag,chroma-excellence-theme\inc\enqueue.php,461,hook,registered,
wp_filter,script_loader_tag,chroma-excellence-theme\inc\enqueue.php,589,hook,registered,
enqueue,chroma-font-awesome,chroma-excellence-theme\inc\enqueue.php,186,asset,registered,
enqueue,chroma-main,chroma-excellence-theme\inc\enqueue.php,201,asset,registered,
enqueue,chroma-page-effects,chroma-excellence-theme\inc\enqueue.php,280,asset,registered,
enqueue,chroma-page-forms,chroma-excellence-theme\inc\enqueue.php,285,asset,registered,
enqueue,chroma-page-careers,chroma-excellence-theme\inc\enqueue.php,290,asset,registered,
enqueue,chroma-main-js,chroma-excellence-theme\inc\enqueue.php,297,asset,registered,
enqueue,chroma-map-facade,chroma-excellence-theme\inc\enqueue.php,313,asset,registered,
enqueue,font-awesome-admin,chroma-excellence-theme\inc\enqueue.php,365,asset,registered,
enqueue,chroma-admin,chroma-excellence-theme\inc\enqueue.php,377,asset,registered,
wp_filter,wpseo_canonical,chroma-excellence-theme\inc\force-trailing-slashes.php,33,hook,registered,
wp_action,add_meta_boxes,chroma-excellence-theme\inc\general-seo-meta.php,33,hook,registered,
wp_action,save_post,chroma-excellence-theme\inc\general-seo-meta.php,190,hook,registered,
wp_action,add_meta_boxes,chroma-excellence-theme\inc\home-page-meta.php,71,hook,registered,
wp_action,save_post,chroma-excellence-theme\inc\home-page-meta.php,322,hook,registered,
wp_action,add_meta_boxes,chroma-excellence-theme\inc\meta-boxes\class-post-newsroom.php,18,hook,registered,
wp_action,save_post,chroma-excellence-theme\inc\meta-boxes\class-post-newsroom.php,19,hook,registered,
wp_action,after_switch_theme,chroma-excellence-theme\inc\monthly-seo-cron.php,34,hook,registered,
wp_action,switch_theme,chroma-excellence-theme\inc\monthly-seo-cron.php,45,hook,registered,
wp_action,chroma_monthly_seo_event,chroma-excellence-theme\inc\monthly-seo-cron.php,72,hook,registered,
wp_filter,cron_schedules,chroma-excellence-theme\inc\monthly-seo-cron.php,24,hook,registered,
wp_action,init,chroma-excellence-theme\inc\nav-menus.php,28,hook,registered,
wp_action,send_headers,chroma-excellence-theme\inc\nav-menus.php,97,hook,registered,
wp_action,wp_update_nav_menu,chroma-excellence-theme\inc\nav-menus.php,621,hook,registered,
wp_action,wp_update_nav_menu_item,chroma-excellence-theme\inc\nav-menus.php,622,hook,registered,
wp_action,save_post_nav_menu_item,chroma-excellence-theme\inc\nav-menus.php,623,hook,registered,
wp_action,customize_save_after,chroma-excellence-theme\inc\nav-menus.php,624,hook,registered,
wp_action,switch_theme,chroma-excellence-theme\inc\nav-menus.php,625,hook,registered,
wp_action,add_meta_boxes,chroma-excellence-theme\inc\parents-page-meta.php,90,hook,registered,
wp_action,save_post,chroma-excellence-theme\inc\parents-page-meta.php,849,hook,registered,
wp_action,save_post,chroma-excellence-theme\inc\parents-page-meta.php,959,hook,registered,
wp_action,init,chroma-excellence-theme\inc\performance-optimizations.php,25,hook,registered,
wp_action,save_post_program,chroma-excellence-theme\inc\performance-optimizations.php,58,hook,registered,
wp_action,admin_init,chroma-excellence-theme\inc\performance-optimizations.php,82,hook,registered,
taxonomy,chroma_program_location,chroma-excellence-theme\inc\performance-optimizations.php,17,taxonomy,registered,
wp_action,add_meta_boxes,chroma-excellence-theme\inc\privacy-page-meta.php,36,hook,registered,
wp_action,save_post,chroma-excellence-theme\inc\privacy-page-meta.php,191,hook,registered,
wp_action,save_post,chroma-excellence-theme\inc\privacy-page-meta.php,252,hook,registered,
wp_action,customize_register,chroma-excellence-theme\inc\program-settings.php,81,hook,registered,
wp_action,updated_option,chroma-excellence-theme\inc\program-settings.php,101,hook,registered,
